Date,Open,High,Low,Close,Adj Close,Volume
2026-01-02,191.2,193.5,189.8,192.7,192.7,81234567
2026-01-05,192.9,194.2,191.5,193.6,193.6,73456789
2026-01-06,193.8,195.0,192.4,194.1,194.1,69876543
2026-01-07,194.0,195.8,193.2,195.3,195.3,71234567
2026-01-08,195.1,196.0,193.9,194.8,194.8,68901234
2026-01-09,194.6,195.2,192.7,193.4,193.4,70123456
2026-01-12,193.3,194.4,191.6,192.2,192.2,67890123
2026-01-13,192.4,193.0,190.8,191.3,191.3,66543210
2026-01-14,191.0,192.2,189.9,190.6,190.6,65432109
2026-01-15,190.8,192.5,190.1,191.9,191.9,64210987
2026-01-16,192.0,193.7,191.2,192.8,192.8,63098765
2026-01-19,193.1,194.6,192.3,193.9,193.9,61987654
2026-01-20,194.0,195.5,193.0,194.7,194.7,60876543
2026-01-21,194.5,196.2,193.8,195.6,195.6,59765432
2026-01-22,195.4,196.9,194.2,196.1,196.1,58654321
2026-01-23,196.0,197.4,195.1,196.8,196.8,57543210
2026-01-26,196.7,198.1,195.8,197.5,197.5,56432109
2026-01-27,197.4,198.9,196.6,198.2,198.2,55321098
2026-01-28,198.1,199.6,197.2,198.9,198.9,54210987
2026-01-29,198.6,200.2,197.9,199.4,199.4,53109876
2026-01-30,199.1,200.8,198.2,200.1,200.1,52098765
2026-02-02,200.0,201.6,199.2,200.8,200.8,50987654
2026-02-03,200.7,202.2,199.8,201.4,201.4,49876543
2026-02-04,201.3,202.9,200.5,202.0,202.0,48765432
2026-02-05,202.1,203.6,201.2,202.8,202.8,47654321
2026-02-06,202.6,204.2,201.8,203.3,203.3,46543210
2026-02-09,203.4,205.0,202.6,204.1,204.1,45432109
2026-02-10,204.0,205.6,203.2,204.8,204.8,44321098
2026-02-11,204.7,206.3,203.9,205.4,205.4,43210987
2026-02-12,205.2,206.8,204.3,206.0,206.0,42109876
2026-02-13,205.9,207.5,205.0,206.6,206.6,41098765
2026-02-16,206.4,208.0,205.6,207.2,207.2,39987654
2026-02-17,207.1,208.7,206.2,207.9,207.9,38876543
2026-02-18,207.6,209.2,206.9,208.4,208.4,37765432
2026-02-19,208.2,209.8,207.4,209.0,209.0,36654321
2026-02-20,208.9,210.4,208.0,209.6,209.6,35543210
2026-02-23,209.3,210.9,208.5,210.1,210.1,34432109
2026-02-24,210.0,211.5,209.1,210.8,210.8,33321098
2026-02-25,210.6,212.1,209.8,211.4,211.4,32210987
2026-02-26,211.2,212.8,210.4,212.0,212.0,31109876
2026-02-27,211.8,213.3,211.0,212.6,212.6,30098765
2026-03-02,212.4,214.0,211.6,213.2,213.2,28987654
2026-03-03,213.1,214.7,212.3,213.9,213.9,27876543
2026-03-04,213.7,215.2,212.9,214.4,214.4,26765432
2026-03-05,214.2,215.8,213.4,215.0,215.0,25654321
2026-03-06,214.9,216.4,214.0,215.6,215.6,24543210
